
date,price,price_percent_change,market_cap,fd_market_cap,volume,volume_percent_change,volume_market_cap,cex_volume,dex_volume
2023-06-05 19:31:10,,,,,,,,,
date,price,price_percent_change,market_cap,fd_market_cap,volume,volume_percent_change,volume_market_cap,cex_volume,dex_volume
2023-06-05 19:32:38,25738.84,5.07,,,,4.99,0.0429,21432457840,5670935
date,price,price_percent_change,market_cap,fd_market_cap,volume,volume_percent_change,volume_market_cap,cex_volume,dex_volume
2023-06-05 19:34:05,,,,,,,,,
date,price,price_percent_change,market_cap,fd_market_cap,volume,volume_percent_change,volume_market_cap,cex_volume,dex_volume
2023-06-05 19:34:21,,,,,,,,,
date,price,price_percent_change,market_cap,fd_market_cap,volume,volume_percent_change,volume_market_cap,cex_volume,dex_volume
2023-06-05 19:34:27,,,,,,,,,
date,price,price_percent_change,market_cap,fd_market_cap,volume,volume_percent_change,volume_market_cap,cex_volume,dex_volume
2023-06-05 19:34:37,,,,,,,,,
date,price,price_percent_change,market_cap,fd_market_cap,volume,volume_percent_change,volume_market_cap,cex_volume,dex_volume
2023-06-05 20:19:30,,,,,,,,,
